listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
2539,2025-08-03,t,,,30,730
2539,2025-08-04,t,,,30,730
2539,2025-08-05,t,,,30,730
2539,2025-08-06,t,,,30,730
2539,2025-08-07,t,,,30,730
2539,2025-08-08,t,,,30,730
2539,2025-08-09,t,,,30,730
2539,2025-08-10,t,,,30,730
2539,2025-08-11,t,,,30,730
2539,2025-08-12,t,,,30,730
2539,2025-08-13,t,,,30,730
2539,2025-08-14,t,,,30,730
2539,2025-08-15,t,,,30,730
2539,2025-08-16,t,,,30,730
2539,2025-08-17,t,,,30,730
2539,2025-08-18,t,,,30,730
2539,2025-08-19,t,,,30,730
2539,2025-08-20,t,,,30,730
2539,2025-08-21,t,,,30,730
2539,2025-08-22,t,,,30,730
2539,2025-08-23,t,,,30,730
2539,2025-08-24,t,,,30,730
2539,2025-08-25,t,,,30,730
2539,2025-08-26,t,,,30,730
2539,2025-08-27,t,,,30,730
2539,2025-08-28,t,,,30,730
2539,2025-08-29,t,,,30,730
2539,2025-08-30,t,,,30,730
2539,2025-08-31,t,,,30,730
2539,2025-09-01,t,,,30,730
2539,2025-09-02,t,,,30,730
2539,2025-09-03,t,,,30,730
2539,2025-09-04,t,,,30,730
2539,2025-09-05,t,,,30,730
2539,2025-09-06,t,,,30,730
2539,2025-09-07,t,,,30,730
2539,2025-09-08,t,,,30,730
2539,2025-09-09,t,,,30,730
2539,2025-09-10,t,,,30,730
2539,2025-09-11,t,,,30,730
2539,2025-09-12,t,,,30,730
2539,2025-09-13,t,,,30,730
2539,2025-09-14,t,,,30,730
2539,2025-09-15,t,,,30,730
2539,2025-09-16,t,,,30,730
2539,2025-09-17,t,,,30,730
2539,2025-09-18,t,,,30,730
2539,2025-09-19,t,,,30,730
2539,2025-09-20,t,,,30,730
2539,2025-09-21,t,,,30,730
